Date,Weekday,Year,Month,Day,annee fiscale,Sales,Retail,TakeOutSales, Bar_Sales,Sales_Restaurant
2015-03-29,SUNDAY,2015,March'15,29,2014-15,"1,792.00 ",373.00 ,0.00 ,,"1,419.00 "
2015-03-30,MONDAY,2015,March'15,30,2014-15,,,0.00 ,,0.00 
2015-03-31,TUESDAY,2015,March'15,31,2014-15,"1,526.30 ",380.95 ,99.25 ,,"1,046.10 "
2015-04-01,WEDNESDAY,2015,April'15,1,2014-15,"2,250.26 ",363.72 ,402.75 ,,"1,483.79 "
2015-04-02,THURSDAY,2015,April'15,2,2014-15,"2,077.57 ",268.80 ,0.00 ,,"1,808.77 "
2015-04-03,FRIDAY,2015,April'15,3,2014-15,"2,357.48 ",394.23 ,32.50 ,,"1,930.75 "
2015-04-04,SATURDAY,2015,April'15,4,2014-15,"1,501.60 ",476.17 ,93.73 ,,931.70 
2015-04-05,SUNDAY,2015,April'15,5,2014-15,,,0.00 ,,0.00 
2015-04-06,MONDAY,2015,April'15,6,2014-15,,,0.00 ,,0.00 
2015-04-07,TUESDAY,2015,April'15,7,2014-15,"1,249.73 ",410.84 ,0.00 ,,838.89 
2015-04-08,WEDNESDAY,2015,April'15,8,2014-15,"1,088.48 ",275.48 ,0.00 ,,813.00 
2015-04-09,THURSDAY,2015,April'15,9,2014-15,"1,769.75 ",294.35 ,0.00 ,,"1,475.40 "
2015-04-10,FRIDAY,2015,April'15,10,2014-15,"2,310.74 ",346.93 ,53.00 ,227.87 ,"1,682.94 "
2015-04-11,SATURDAY,2015,April'15,11,2014-15,"2,028.22 ",453.04 ,0.00 ,163.25 ,"1,411.93 "
2015-04-12,SUNDAY,2015,April'15,12,2014-15,"1,720.71 ",198.84 ,315.25 ,265.00 ,941.62 
2015-04-13,MONDAY,2015,April'15,13,2014-15,"1,131.65 ",95.05 ,0.00 ,211.75 ,824.85 
2015-04-14,TUESDAY,2015,April'15,14,2014-15,"1,146.73 ",257.12 ,128.00 ,138.75 ,622.86 
2015-04-15,WEDNESDAY,2015,April'15,15,2014-15,"1,556.95 ",269.34 ,104.25 ,188.50 ,994.86 
2015-04-16,THURSDAY,2015,April'15,16,2014-15,"1,391.79 ",328.11 ,0.00 ,135.25 ,928.43 
2015-04-17,FRIDAY,2015,April'15,17,2014-15,"2,541.88 ",531.89 ,344.24 ,367.95 ,"1,297.80 "
2015-04-18,SATURDAY,2015,April'15,18,2014-15,"1,612.04 ",552.68 ,291.25 ,77.37 ,690.74 
2015-04-19,SUNDAY,2015,April'15,19,2014-15,"1,770.12 ",482.01 ,141.49 ,147.50 ,999.12 
2015-04-20,MONDAY,2015,April'15,20,2014-15,909.69 ,163.04 ,0.00 ,106.20 ,640.45 
2015-04-21,TUESDAY,2015,April'15,21,2014-15,"1,008.00 ",247.62 ,0.00 ,147.45 ,612.93 
2015-04-22,WEDNESDAY,2015,April'15,22,2014-15,956.69 ,279.31 ,0.00 ,57.00 ,620.38 
2015-04-23,THURSDAY,2015,April'15,23,2014-15,"1,194.85 ",195.77 ,0.00 ,199.75 ,799.33 
2015-04-24,FRIDAY,2015,April'15,24,2014-15,"1,497.10 ",295.24 ,186.49 ,221.50 ,793.87 
2015-04-25,SATURDAY,2015,April'15,25,2014-15,"2,211.71 ",624.94 ,58.50 ,302.75 ,"1,225.52 "
2015-04-26,SUNDAY,2015,April'15,26,2014-15,"1,017.80 ",232.05 ,65.49 ,94.75 ,625.51 
2015-04-27,MONDAY,2015,April'15,27,2014-15,788.16 ,191.22 ,94.50 ,89.99 ,412.45 
2015-04-28,TUESDAY,2015,April'15,28,2014-15,"1,192.82 ",237.06 ,45.50 ,149.25 ,761.01 
2015-04-29,WEDNESDAY,2015,April'15,29,2014-15,"1,090.57 ",370.78 ,0.00 ,112.75 ,607.04 
2015-04-30,THURSDAY,2015,April'15,30,2014-15,"2,715.78 ",227.48 ,547.27 ,400.25 ,"1,540.78 "
2015-05-01,FRIDAY,2015,May'15,1,2014-15,"1,854.44 ",457.72 ,177.50 ,187.50 ,"1,031.72 "
2015-05-02,SATURDAY,2015,May'15,2,2014-15,"2,454.55 ",523.19 ,245.46 ,343.18 ,"1,342.72 "
2015-05-03,SUNDAY,2015,May'15,3,2014-15,"1,717.69 ",338.30 ,127.38 ,248.65 ,"1,003.36 "
2015-05-04,MONDAY,2015,May'15,4,2014-15,"1,159.23 ",158.68 ,59.36 ,175.62 ,765.57 
2015-05-05,TUESDAY,2015,May'15,5,2014-15,"1,458.49 ",415.00 ,70.51 ,195.76 ,777.22 
2015-05-06,WEDNESDAY,2015,May'15,6,2014-15,"1,582.37 ",304.78 ,0.00 ,248.65 ,"1,028.94 "
2015-05-07,THURSDAY,2015,May'15,7,2014-15,"2,004.52 ",388.25 ,37.35 ,238.50 ,"1,340.42 "
2015-05-08,FRIDAY,2015,May'15,8,2014-15,"3,240.50 ",447.36 ,149.00 ,620.75 ,"2,023.39 "
2015-05-09,SATURDAY,2015,May'15,9,2014-15,"1,845.02 ",464.28 ,123.00 ,357.75 ,899.99 
2015-05-10,SUNDAY,2015,May'15,10,2014-15,"1,768.98 ",155.26 ,232.05 ,196.75 ,"1,184.92 "
2015-05-11,MONDAY,2015,May'15,11,2014-15,934.40 ,221.17 ,38.00 ,56.50 ,618.73 
2015-05-12,TUESDAY,2015,May'15,12,2014-15,"1,599.88 ",264.62 ,0.00 ,198.11 ,"1,137.15 "
2015-05-13,WEDNESDAY,2015,May'15,13,2014-15,"1,909.25 ",391.08 ,0.00 ,290.35 ,"1,227.82 "
2015-05-14,THURSDAY,2015,May'15,14,2014-15,"1,876.09 ",377.21 ,89.75 ,254.35 ,"1,154.78 "
2015-05-15,FRIDAY,2015,May'15,15,2014-15,"2,304.00 ",363.27 ,275.28 ,206.12 ,"1,459.33 "
2015-05-16,SATURDAY,2015,May'15,16,2014-15,"2,041.13 ",364.83 ,191.75 ,273.87 ,"1,210.68 "
2015-05-17,SUNDAY,2015,May'15,17,2014-15,"1,622.04 ",494.43 ,99.00 ,141.50 ,887.11 
2015-05-18,MONDAY,2015,May'15,18,2014-15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2015-05-19,TUESDAY,2015,May'15,19,2014-15,"1,421.02 ",374.42 ,69.75 ,252.25 ,724.60 
2015-05-20,WEDNESDAY,2015,May'15,20,2014-15,"1,534.22 ",295.23 ,153.00 ,161.49 ,924.50 
2015-05-21,THURSDAY,2015,May'15,21,2014-15,"2,269.53 ",254.93 ,65.00 ,374.12 ,"1,575.48 "
2015-05-22,FRIDAY,2015,May'15,22,2014-15,"1,591.93 ",339.83 ,175.50 ,143.81 ,932.79 
2015-05-23,SATURDAY,2015,May'15,23,2014-15,"1,714.24 ",443.43 ,98.50 ,293.87 ,878.44 
2015-05-24,SUNDAY,2015,May'15,24,2014-15,"2,558.12 ",568.77 ,182.00 ,302.25 ,"1,505.10 "
2015-05-25,MONDAY,2015,May'15,25,2014-15,748.61 ,203.35 ,176.25 ,61.12 ,307.89 
2015-05-26,TUESDAY,2015,May'15,26,2014-15,"1,959.86 ",489.91 ,0.00 ,275.00 ,"1,194.95 "
2015-05-27,WEDNESDAY,2015,May'15,27,2014-15,"1,559.28 ",409.31 ,37.50 ,188.25 ,924.22 
2015-05-28,THURSDAY,2015,May'15,28,2014-15,"1,433.59 ",306.65 ,0.00 ,190.50 ,936.44 
2015-05-29,FRIDAY,2015,May'15,29,2014-15,"2,522.08 ",310.81 ,474.75 ,378.62 ,"1,357.90 "
2015-05-30,SATURDAY,2015,May'15,30,2014-15,"2,584.27 ",667.25 ,67.00 ,437.87 ,"1,412.15 "
2015-05-31,SUNDAY,2015,May'15,31,2014-15,"1,153.41 ",144.81 ,95.00 ,132.87 ,780.73 
2015-06-01,MONDAY,2015,June'15,1,2014-15,"1,188.70 ",187.43 ,75.50 ,84.87 ,840.90 
2015-06-02,TUESDAY,2015,June'15,2,2014-15,"1,306.79 ",195.54 ,0.00 ,107.50 ,"1,003.75 "
2015-06-03,WEDNESDAY,2015,June'15,3,2014-15,"1,486.28 ",225.73 ,87.50 ,219.25 ,953.80 
2015-06-04,THURSDAY,2015,June'15,4,2014-15,"2,180.14 ",341.15 ,0.00 ,347.75 ,"1,491.24 "
2015-06-05,FRIDAY,2015,June'15,5,2014-15,"1,544.40 ",224.78 ,187.00 ,250.38 ,882.24 
2015-06-06,SATURDAY,2015,June'15,6,2014-15,"1,924.47 ",557.73 ,69.00 ,188.76 ,"1,108.98 "
2015-06-07,SUNDAY,2015,June'15,7,2014-15,"2,555.02 ",360.49 ,121.75 ,346.00 ,"1,726.78 "
2015-06-08,MONDAY,2015,June'15,8,2014-15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2015-06-09,TUESDAY,2015,June'15,9,2014-15,"1,665.27 ",169.53 ,0.00 ,324.00 ,"1,171.74 "
2015-06-10,WEDNESDAY,2015,June'15,10,2014-15,"1,814.71 ",376.85 ,72.00 ,246.87 ,"1,118.99 "
2015-06-11,THURSDAY,2015,June'15,11,2014-15,"1,851.01 ",172.29 ,0.00 ,277.75 ,"1,400.97 "
2015-06-12,FRIDAY,2015,June'15,12,2014-15,"2,274.52 ",154.33 ,183.75 ,,"1,936.44 "
2015-06-13,SATURDAY,2015,June'15,13,2014-15,"2,673.48 ",384.11 ,135.00 ,309.75 ,"1,844.62 "
2015-06-14,SUNDAY,2015,June'15,14,2014-15,"1,900.02 ",365.82 ,204.30 ,299.50 ,"1,030.40 "
2015-06-15,MONDAY,2015,June'15,15,2014-15,"1,946.79 ",296.62 ,991.30 ,,658.87 
2015-06-16,TUESDAY,2015,June'15,16,2014-15,"2,096.21 ",320.71 ,227.35 ,381.00 ,"1,167.15 "
2015-06-17,WEDNESDAY,2015,June'15,17,2014-15,"1,801.41 ",237.16 ,157.62 ,221.25 ,"1,185.38 "
2015-06-18,THURSDAY,2015,June'15,18,2014-15,"2,415.77 ",128.55 ,160.25 ,405.77 ,"1,721.20 "
2015-06-19,FRIDAY,2015,June'15,19,2014-15,"3,310.53 ",,364.46 ,,"2,946.07 "
2015-06-20,SATURDAY,2015,June'15,20,2014-15,"2,632.48 ",454.92 ,202.06 ,497.62 ,"1,477.88 "
2015-06-21,SUNDAY,2015,June'15,21,2014-15,"1,909.87 ",345.12 ,60.00 ,233.00 ,"1,271.75 "
2015-06-22,MONDAY,2015,June'15,22,2014-15,"1,741.94 ",195.79 ,278.11 ,230.50 ,"1,037.54 "
2015-06-23,TUESDAY,2015,June'15,23,2014-15,"1,538.52 ",339.63 ,317.27 ,208.62 ,673.00 
2015-06-24,WEDNESDAY,2015,June'15,24,2014-15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2015-06-25,THURSDAY,2015,June'15,25,2014-15,"1,855.15 ",260.84 ,113.51 ,310.24 ,"1,170.56 "
2015-06-26,FRIDAY,2015,June'15,26,2014-15,"3,198.50 ",304.33 ,219.31 ,469.25 ,"2,205.61 "
2015-06-27,SATURDAY,2015,June'15,27,2014-15,"2,430.16 ",465.09 ,296.92 ,298.25 ,"1,369.90 "
2015-06-28,SUNDAY,2015,June'15,28,2014-15,"1,584.62 ",221.41 ,121.41 ,294.75 ,947.05 
2015-06-29,MONDAY,2015,June'15,29,2014-15,"1,332.18 ",218.79 ,101.00 ,146.00 ,866.39 
2015-06-30,TUESDAY,2015,June'15,30,2014-15,"1,960.99 ",374.79 ,319.16 ,268.00 ,999.04 
2015-07-01,WEDNESDAY,2015,July'15,1,2014-15,521.92 ,164.92 ,0.00 ,36.00 ,321.00 
2015-07-02,THURSDAY,2015,July'15,2,2014-15,"2,443.23 ",302.05 ,0.00 ,466.76 ,"1,674.42 "
2015-07-03,FRIDAY,2015,July'15,3,2014-15,"3,206.73 ",376.76 ,236.50 ,496.50 ,"2,096.97 "
2015-07-04,SATURDAY,2015,July'15,4,2014-15,"2,004.49 ",419.35 ,181.75 ,319.01 ,"1,084.38 "
2015-07-05,SUNDAY,2015,July'15,5,2014-15,"2,026.98 ",419.79 ,117.00 ,252.75 ,"1,237.44 "
2015-07-06,MONDAY,2015,July'15,6,2014-15,"1,646.33 ",240.78 ,59.00 ,238.00 ,"1,108.55 "
2015-07-07,TUESDAY,2015,July'15,7,2014-15,"1,232.10 ",226.83 ,159.11 ,172.25 ,673.91 
2015-07-08,WEDNESDAY,2015,July'15,8,2014-15,"2,733.10 ",441.36 ,172.45 ,447.00 ,"1,672.29 "
2015-07-09,THURSDAY,2015,July'15,9,2014-15,"2,840.96 ",386.80 ,187.00 ,369.00 ,"1,898.16 "
2015-07-10,FRIDAY,2015,July'15,10,2014-15,"3,266.90 ",228.44 ,349.50 ,523.41 ,"2,165.55 "
2015-07-11,SATURDAY,2015,July'15,11,2014-15,"2,312.96 ",275.34 ,180.00 ,448.99 ,"1,408.63 "
2015-07-12,SUNDAY,2015,July'15,12,2014-15,"1,719.71 ",388.29 ,153.45 ,231.00 ,946.97 
2015-07-13,MONDAY,2015,July'15,13,2014-15,"1,574.85 ",252.65 ,0.00 ,250.00 ,"1,072.20 "
2015-07-14,TUESDAY,2015,July'15,14,2014-15,"1,504.88 ",258.32 ,46.50 ,203.62 ,996.44 
2015-07-15,WEDNESDAY,2015,July'15,15,2014-15,"1,557.81 ",156.19 ,0.00 ,194.72 ,"1,206.90 "
2015-07-16,THURSDAY,2015,July'15,16,2014-15,"2,653.19 ",220.70 ,296.95 ,615.75 ,"1,519.79 "
2015-07-17,FRIDAY,2015,July'15,17,2014-15,"2,615.71 ",231.28 ,134.50 ,466.62 ,"1,783.31 "
2015-07-18,SATURDAY,2015,July'15,18,2014-15,"2,787.49 ",503.60 ,135.50 ,488.50 ,"1,659.89 "
2015-07-19,SUNDAY,2015,July'15,19,2014-15,"1,742.32 ",389.83 ,50.50 ,248.00 ,"1,053.99 "
2015-07-20,MONDAY,2015,July'15,20,2014-15,"1,940.75 ",379.99 ,135.00 ,383.25 ,"1,042.51 "
2015-07-21,TUESDAY,2015,July'15,21,2014-15,"1,381.25 ",332.20 ,0.00 ,240.75 ,808.30 
2015-07-22,WEDNESDAY,2015,July'15,22,2014-15,"2,457.90 ",381.80 ,59.50 ,507.25 ,"1,509.35 "
2015-07-23,THURSDAY,2015,July'15,23,2014-15,"2,447.28 ",286.22 ,54.50 ,379.00 ,"1,727.56 "
2015-07-24,FRIDAY,2015,July'15,24,2014-15,"2,939.05 ",403.99 ,314.25 ,475.99 ,"1,744.82 "
2015-07-25,SATURDAY,2015,July'15,25,2014-15,"2,173.59 ",349.74 ,209.50 ,243.00 ,"1,371.35 "
2015-07-26,SUNDAY,2015,July'15,26,2014-15,"2,347.08 ",439.29 ,203.50 ,434.25 ,"1,270.04 "
2015-07-27,MONDAY,2015,July'15,27,2014-15,"1,313.83 ",362.33 ,54.85 ,185.25 ,711.40 
2015-07-28,TUESDAY,2015,July'15,28,2014-15,"1,852.66 ",465.93 ,60.00 ,213.62 ,"1,113.11 "
2015-07-29,WEDNESDAY,2015,July'15,29,2014-15,"1,786.17 ",422.33 ,163.75 ,226.75 ,973.34 
2015-07-30,THURSDAY,2015,July'15,30,2014-15,"2,082.57 ",249.93 ,246.50 ,393.75 ,"1,192.39 "
2015-07-31,FRIDAY,2015,July'15,31,2014-15,"3,523.14 ",727.97 ,291.10 ,619.75 ,"1,884.32 "
2015-08-01,SATURDAY,2015,August'15,1,2014-15,"1,996.15 ",344.08 ,89.50 ,305.25 ,"1,257.32 "
2015-08-02,SUNDAY,2015,August'15,2,2014-15,"2,155.61 ",534.99 ,114.50 ,261.50 ,"1,244.62 "
2015-08-03,MONDAY,2015,August'15,3,2014-15,"1,847.45 ",422.31 ,115.00 ,361.99 ,948.15 
2015-08-04,TUESDAY,2015,August'15,4,2014-15,"1,790.88 ",236.43 ,58.50 ,234.00 ,"1,261.95 "
2015-08-05,WEDNESDAY,2015,August'15,5,2014-15,"1,588.59 ",503.82 ,14.50 ,187.12 ,883.15 
2015-08-06,THURSDAY,2015,August'15,6,2014-15,"1,867.56 ",295.06 ,0.00 ,305.25 ,"1,267.25 "
2015-08-07,FRIDAY,2015,August'15,7,2014-15,"3,071.57 ",371.96 ,114.50 ,457.00 ,"2,128.11 "
2015-08-08,SATURDAY,2015,August'15,8,2014-15,"2,682.43 ",487.87 ,163.00 ,496.37 ,"1,535.19 "
2015-08-09,SUNDAY,2015,August'15,9,2014-15,"2,019.67 ",523.10 ,162.50 ,305.87 ,"1,028.20 "
2015-08-10,MONDAY,2015,August'15,10,2014-15,"1,407.70 ",221.35 ,90.50 ,191.00 ,904.85 
