Date,Qte(hre)
2014-06-13,7
2014-06-14,3.5
2014-06-14,6.5
2014-06-15,7.42
2014-06-17,6.83
2014-06-18,4.33
2014-06-19,0
2014-06-19,9.25
2014-06-20,8.17
2014-06-21,2.83
2014-06-25,7.42
2014-06-26,8.42
2014-06-27,8.25
2014-06-28,6.92
2014-06-28,2.42
2014-06-29,8.33
2014-06-12,0
2014-06-13,0
2014-06-13,6
2014-06-17,0
2014-06-17,6.92
2014-06-18,5.67
2014-06-19,8.17
2014-06-20,0.83
2014-06-25,0
2014-06-26,0
2014-06-12,7.42
2014-06-13,0
2014-06-13,7.58
2014-06-14,7.5
2014-06-17,11.5
2014-06-20,7.33
2014-06-20,0
2014-06-21,6.25
2014-06-22,11
2014-06-22,0
2014-06-26,7.75
2014-06-27,7.67
2014-06-27,0
2014-06-28,0
2014-06-29,11.5
2014-06-29,0
2014-06-12,8
2014-06-14,2
2014-06-15,2
2014-06-22,9.5
2014-06-13,0
2014-06-13,7.42
2014-06-14,7.58
2014-06-15,5
2014-06-15,5.5
2014-06-18,5.42
2014-06-19,6.33
2014-06-20,5.08
2014-06-20,0
2014-06-21,3.08
2014-06-21,1
2014-06-22,3.17
2014-06-25,5.5
2014-06-25,2.08
2014-06-26,5.25
2014-06-27,5.17
2014-06-28,5.5
2014-06-29,5.17
2014-06-29,1.75
2014-06-13,8.5
2014-06-14,0.83
2014-06-14,0
2014-06-15,0
2014-06-15,7.92
2014-06-17,3.58
2014-06-18,6.58
2014-06-19,5.58
2014-06-19,0
2014-06-20,6
2014-06-20,1.5
2014-06-21,2.67
2014-06-21,0
2014-06-22,9.5
2014-06-25,7.67
2014-06-26,5
2014-06-27,4.92
2014-06-29,7.08
2014-06-13,4.25
2014-06-13,1.92
2014-06-14,2.67
2014-06-14,4.33
2014-06-15,0
2014-06-17,6.33
2014-06-17,0
2014-06-17,0
2014-06-18,3.17
2014-06-18,0
2014-06-19,6.92
2014-06-19,0
2014-06-20,6.83
2014-06-21,8.83
2014-06-25,5.92
2014-06-26,7.33
2014-06-27,8
2014-06-28,9.25
2014-06-13,5.92
2014-06-17,4.67
2014-06-18,5.25
2014-06-21,7.42
2014-06-22,3.17
2014-06-22,3.92
2014-06-27,6.75
2014-06-28,6.67
2014-06-29,4.33
2014-06-29,5.08
2014-06-13,5.25
2014-06-14,8
2014-06-15,5.83
2014-06-17,4.83
2014-06-19,4.58
2014-06-21,9.25
2014-06-22,5.92
2014-06-26,5.75
2014-06-27,5.67
2014-06-28,6.42
2014-06-29,3.83
2014-06-13,6.25
2014-06-13,0
2014-06-14,6.92
2014-06-15,7.58
2014-06-18,7.17
2014-06-18,0
2014-06-19,8.42
2014-06-20,6.08
2014-07-17,5.5
2014-07-19,6.5
2014-07-20,6
2014-07-22,4.67
2014-07-23,6.17
2014-07-26,6.42
2014-07-27,3.92
2014-07-30,5
2014-07-02,5.75
2014-07-03,6.67
2014-07-04,7.17
2014-07-05,6.42
2014-07-06,9.58
2014-07-08,8
2014-07-09,6.42
2014-07-10,7.33
2014-07-11,7
2014-07-12,6.5
2014-07-13,7.58
2014-07-14,1.25
2014-07-15,7.5
2014-07-16,8.08
2014-07-17,0
2014-07-17,8
2014-07-18,7
2014-07-18,0
2014-07-19,7.25
2014-07-20,5.33
2014-07-22,6.75
2014-07-22,1.08
2014-07-23,7.08
2014-07-24,5.92
2014-07-25,9.67
2014-07-26,7.17
2014-07-27,6
2014-07-29,6.58
2014-07-31,7.33
2014-07-10,7.5
2014-07-11,7.5
2014-07-11,0
2014-07-12,5.58
2014-07-13,4.25
2014-07-18,6.67
2014-07-19,4.33
2014-07-23,7.17
2014-07-28,0
2014-07-29,0
2014-07-31,0
2014-07-03,9
2014-07-04,12.67
2014-07-05,6.42
2014-07-09,7.33
2014-07-10,8.08
2014-07-11,19.75
2014-07-12,7.58
2014-07-13,10.17
2014-07-14,1.25
2014-07-16,7
2014-07-17,6.25
2014-07-18,9.42
2014-07-20,5.17
2014-07-23,7
2014-07-24,7.17
2014-07-24,0
2014-07-25,8.17
2014-07-25,0
2014-07-26,8.25
2014-07-31,12.33
2014-07-31,0
2014-07-31,0
2014-07-11,7.92
2014-07-13,0
2014-07-16,7.92
2014-07-12,7.08
2014-07-03,5.25
2014-07-04,6.33
2014-07-05,6.42
2014-07-06,5.17
2014-07-06,4.67
2014-07-08,3.42
2014-07-08,5.92
2014-07-10,6.25
2014-07-11,5.75
2014-07-12,5.58
2014-07-13,4.67
2014-07-13,2.67
2014-07-02,5.33
2014-07-05,7.75
2014-07-08,9
2014-07-08,0
2014-07-10,5.67
2014-07-11,8
2014-07-12,7.25
2014-07-15,7.5
2014-07-16,7.33
2014-07-17,4.75
2014-07-18,4.83
2014-07-19,9.33
2014-07-22,6.25
2014-07-23,6.25
2014-07-24,5.42
2014-07-25,5.25
2014-07-26,6.42
2014-07-29,7.67
2014-07-22,5
2014-07-02,5.25
2014-07-03,6.25
2014-07-04,6.33
2014-07-04,0
2014-07-06,4.67
2014-07-09,5.25
2014-07-10,5.5
2014-07-11,6.17
2014-07-14,1.25
2014-07-15,5.08
2014-07-16,5.58
2014-07-17,5.33
2014-07-18,7.33
2014-07-20,6.08
2014-07-22,4.42
2014-07-22,4.92
2014-07-23,5.17
2014-07-24,6.25
2014-07-25,6.25
2014-07-29,5.08
2014-07-02,5.67
2014-07-03,5.5
2014-07-04,0
2014-07-17,12.25
2014-07-17,5.25
2014-07-18,6.42
2014-07-19,6.58
2014-07-20,7
2014-07-20,0
2014-07-22,5
2014-07-23,5.75
2014-07-24,7.25
2014-07-25,4.42
2014-07-26,6.17
2014-07-27,6.92
2014-07-30,4.25
2014-07-31,5.67
2014-07-02,7.25
2014-07-03,5.17
2014-07-05,5.5
2014-07-06,13.5
2014-07-08,8.25
2014-07-09,7.92
2014-07-10,8.25
2014-07-11,8.5
2014-07-12,7
2014-07-15,7.75
2014-07-17,11
2014-07-18,3.25
2014-07-22,7
2014-07-24,6.25
2014-07-25,8.08
2014-07-26,3.58
2014-07-27,13.08
2014-07-29,7.5
2014-07-30,9.08
2014-07-30,3.17
2014-07-31,5.33
2014-07-20,0
2014-07-13,0
2014-07-23,4
2014-07-25,8
2014-07-26,7.25
2014-07-26,0
2014-07-29,5.83
2014-07-30,5.33
2014-07-31,5.5
2014-08-06,5
2014-08-07,4.75
2014-08-01,5.92
2014-08-01,3.83
2014-08-02,7.08
2014-08-03,7.33
2014-08-05,6.42
2014-08-07,7.42
2014-08-08,6
2014-08-08,6
2014-08-09,7
2014-08-09,1.67
2014-08-10,4.92
2014-08-11,13.08
2014-08-12,12.5
2014-08-13,7.33
2014-08-14,2.33
2014-08-18,12.42
2014-08-19,12.92
2014-08-20,5.92
2014-08-22,3.42
2014-08-23,6.08
2014-08-23,4.67
2014-08-24,7.67
2014-08-25,6.75
2014-08-26,5.75
2014-08-27,7.08
2014-08-28,6
2014-08-31,5.5
2014-08-21,5
2014-08-21,6.5
2014-08-22,5
2014-08-22,5.5
2014-08-22,0
2014-08-23,4
2014-08-23,6
2014-08-24,5
2014-08-24,5.5
2014-08-29,13
2014-08-30,4.83
2014-08-30,5
2014-08-31,5.25
2014-08-01,0
2014-08-05,8.08
2014-08-05,0
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-10,0
2014-08-11,8.5
2014-08-12,8
2014-08-13,0
2014-08-14,0
2014-08-14,0
2014-08-15,0
2014-08-17,15
2014-08-19,0
2014-08-20,0
2014-08-22,0
2014-08-23,3.58
2014-08-24,0
